line_num,method,expected,predicted,correct,response_time
2,combined,False,False,True,1.9425251483917236
3,combined,False,True,False,1.818434715270996
4,combined,False,False,True,1.87705397605896
5,combined,False,False,True,1.4399452209472656
6,combined,False,False,True,2.1200127601623535
7,combined,False,False,True,1.4576852321624756
8,combined,False,False,True,1.4506630897521973
9,combined,False,False,True,2.1162819862365723
10,combined,False,False,True,2.135545253753662
11,combined,False,False,True,2.0384552478790283
12,combined,False,True,False,2.5092921257019043
13,combined,False,False,True,4.1586408615112305
14,combined,False,False,True,1.704662799835205
15,combined,False,True,False,1.9111785888671875
16,combined,False,False,True,1.7485744953155518
17,combined,True,False,False,1.4959723949432373
18,combined,True,True,True,1.9749267101287842
19,combined,True,True,True,1.802661418914795
20,combined,True,True,True,2.039346933364868
21,combined,True,True,True,1.79093337059021
22,combined,True,False,False,2.593203544616699
23,combined,True,False,False,1.802459955215454
24,combined,True,True,True,3.4591619968414307
25,combined,True,True,True,2.2818801403045654
26,combined,True,True,True,2.3541619777679443
27,combined,True,True,True,7.059474468231201
28,combined,True,True,True,2.16951847076416
29,combined,True,False,False,2.2427828311920166
30,combined,True,True,True,3.362886428833008
31,combined,True,True,True,2.377429962158203
32,combined,True,True,True,2.1503374576568604
33,combined,True,True,True,2.5799002647399902
34,combined,True,False,False,3.444110870361328
35,combined,True,True,True,2.235572338104248
36,combined,True,True,True,1.9475855827331543
37,combined,True,True,True,2.5645432472229004
38,combined,True,True,True,2.1694397926330566
39,combined,True,True,True,2.4688854217529297
40,combined,True,True,True,1.6489455699920654
41,combined,True,True,True,2.5863702297210693
42,combined,True,True,True,2.23551082611084
43,combined,True,True,True,3.2181684970855713
44,combined,True,True,True,2.1546630859375
45,combined,True,True,True,2.4554834365844727
46,combined,True,True,True,2.162254810333252
47,combined,True,False,False,2.0857584476470947
48,combined,True,True,True,2.35931134223938
49,combined,True,True,True,2.172705888748169
50,combined,True,True,True,2.2535486221313477
51,combined,True,True,True,4.5818095207214355
52,combined,True,True,True,2.148383378982544
53,combined,True,True,True,1.9972443580627441
54,combined,True,True,True,2.7817037105560303
55,combined,False,True,False,2.1056578159332275
56,combined,False,True,False,2.3863255977630615
57,combined,False,False,True,2.489527702331543
58,combined,False,True,False,3.836913824081421
59,combined,False,False,True,2.1441502571105957
60,combined,False,False,True,2.781032085418701
61,combined,False,False,True,2.323963165283203
62,combined,False,True,False,2.645632266998291
63,combined,False,False,True,2.5984127521514893
64,combined,False,False,True,2.0838193893432617
65,combined,False,True,False,2.601595878601074
66,combined,False,True,False,2.1256885528564453
67,combined,False,False,True,2.184687376022339
68,combined,False,True,False,2.0364396572113037
69,combined,False,False,True,2.208820343017578
70,combined,True,True,True,1.8909008502960205
71,combined,True,True,True,1.984508991241455
72,combined,True,True,True,1.9123268127441406
73,combined,True,True,True,2.641956329345703
74,combined,True,False,False,2.427246570587158
75,combined,True,False,False,2.050792694091797
76,combined,True,False,False,1.7827610969543457
77,combined,True,True,True,2.083604335784912
78,combined,True,True,True,3.2600367069244385
79,combined,True,True,True,2.1754138469696045
80,combined,True,False,False,1.793445110321045
81,combined,True,True,True,1.9883906841278076
82,combined,True,True,True,2.049825429916382
83,combined,True,False,False,1.9887065887451172
84,combined,True,True,True,1.9706823825836182
85,combined,True,True,True,2.0825865268707275
86,combined,True,True,True,1.9028558731079102
87,combined,False,True,False,2.0458803176879883
88,combined,False,True,False,1.9174466133117676
89,combined,False,True,False,1.713533878326416
90,combined,False,True,False,13.67874002456665
91,combined,False,True,False,2.205144166946411
92,combined,False,True,False,1.7737140655517578
93,combined,False,True,False,2.3946897983551025
94,combined,False,True,False,1.6313598155975342
95,combined,False,True,False,2.2195000648498535
96,combined,False,True,False,2.090053081512451
97,combined,False,False,True,2.70172381401062
98,combined,False,True,False,1.8623275756835938
99,combined,False,False,True,2.3647866249084473
100,combined,False,False,True,2.1274523735046387
101,combined,False,True,False,1.5621564388275146
102,combined,True,True,True,2.1677346229553223
103,combined,True,True,True,2.0727479457855225
104,combined,True,False,False,2.6134674549102783
105,combined,True,True,True,1.877577543258667
106,combined,True,True,True,2.7440943717956543
107,combined,True,True,True,2.1160738468170166
108,combined,True,True,True,2.2148144245147705
109,combined,True,True,True,2.7449967861175537
110,combined,True,True,True,2.0820648670196533
111,combined,True,True,True,2.3325233459472656
112,combined,True,False,False,2.16078519821167
113,combined,True,True,True,2.673569440841675
114,combined,True,True,True,1.686283826828003
115,combined,True,True,True,2.0392088890075684
116,combined,True,True,True,2.4352669715881348
117,combined,True,False,False,2.5164780616760254
118,combined,True,True,True,1.9468958377838135
119,combined,True,True,True,1.7782385349273682
120,combined,True,True,True,1.7752010822296143
121,combined,True,True,True,1.887749195098877
122,combined,True,True,True,2.677354097366333
123,combined,True,True,True,2.6271274089813232
124,combined,True,True,True,2.4001386165618896
125,combined,True,True,True,2.0323596000671387
126,combined,True,True,True,4.933764696121216
127,combined,True,True,True,1.809727430343628
128,combined,True,True,True,2.0737762451171875
129,combined,True,True,True,2.851712465286255
130,combined,True,True,True,1.8072023391723633
131,combined,True,True,True,2.275547981262207
132,combined,True,True,True,2.020258903503418
133,combined,True,True,True,2.5747570991516113
134,combined,True,True,True,2.548759937286377
135,combined,True,True,True,2.4071714878082275
136,combined,True,True,True,2.1731772422790527
2,llm,False,False,True,1.0008234977722168
3,llm,False,False,True,0.5097842216491699
4,llm,False,False,True,0.413074254989624
5,llm,False,False,True,0.41515398025512695
6,llm,False,False,True,0.3891763687133789
7,llm,False,False,True,0.42444753646850586
8,llm,False,False,True,0.40176844596862793
9,llm,False,False,True,0.6826057434082031
10,llm,False,False,True,0.3431107997894287
11,llm,False,False,True,0.36118531227111816
12,llm,False,False,True,0.3627150058746338
13,llm,False,False,True,0.4350426197052002
14,llm,False,False,True,0.36830615997314453
15,llm,False,False,True,0.40596675872802734
16,llm,False,False,True,0.38345813751220703
17,llm,True,False,False,0.38351893424987793
18,llm,True,False,False,0.4607832431793213
19,llm,True,False,False,0.38600897789001465
20,llm,True,False,False,0.41071224212646484
21,llm,True,False,False,0.38129210472106934
22,llm,True,False,False,0.36594128608703613
23,llm,True,False,False,0.41921520233154297
24,llm,True,False,False,0.47620582580566406
25,llm,True,False,False,0.5127897262573242
26,llm,True,False,False,0.43922877311706543
27,llm,True,False,False,0.40886425971984863
28,llm,True,False,False,0.4601724147796631
29,llm,True,False,False,0.34165120124816895
30,llm,True,False,False,0.3935408592224121
31,llm,True,False,False,0.412365198135376
32,llm,True,False,False,0.419189453125
33,llm,True,False,False,0.4064018726348877
34,llm,True,False,False,0.369922399520874
35,llm,True,False,False,0.3470330238342285
36,llm,True,False,False,0.3732450008392334
37,llm,True,False,False,0.38651156425476074
38,llm,True,False,False,0.47046518325805664
39,llm,True,False,False,0.5961146354675293
40,llm,True,False,False,0.37689638137817383
41,llm,True,False,False,0.45392441749572754
42,llm,True,False,False,1.035231590270996
43,llm,True,False,False,0.4995880126953125
44,llm,True,False,False,0.506915807723999
45,llm,True,False,False,0.41085386276245117
46,llm,True,False,False,0.46509552001953125
47,llm,True,False,False,0.869072437286377
48,llm,True,False,False,0.5655596256256104
49,llm,True,False,False,0.561798095703125
50,llm,True,False,False,0.4110116958618164
51,llm,True,False,False,0.6116862297058105
52,llm,True,False,False,0.39613842964172363
53,llm,True,False,False,0.38072776794433594
54,llm,True,False,False,0.3923492431640625
55,llm,False,False,True,0.4661142826080322
56,llm,False,False,True,0.517688512802124
57,llm,False,False,True,0.668936014175415
58,llm,False,False,True,0.40795016288757324
59,llm,False,False,True,0.6597487926483154
60,llm,False,False,True,0.43732762336730957
61,llm,False,False,True,0.49302101135253906
62,llm,False,False,True,0.5036740303039551
63,llm,False,False,True,0.5312929153442383
64,llm,False,False,True,0.404127836227417
65,llm,False,False,True,0.33237576484680176
66,llm,False,False,True,0.40222978591918945
67,llm,False,False,True,0.42539000511169434
68,llm,False,False,True,0.3873934745788574
69,llm,False,False,True,0.4071931838989258
70,llm,True,False,False,0.4869849681854248
71,llm,True,False,False,0.33771324157714844
72,llm,True,False,False,0.5826501846313477
73,llm,True,False,False,0.4718911647796631
74,llm,True,False,False,0.5044882297515869
75,llm,True,False,False,0.5423305034637451
76,llm,True,False,False,0.6347079277038574
77,llm,True,False,False,0.37020206451416016
78,llm,True,False,False,0.3572244644165039
79,llm,True,False,False,0.6047122478485107
80,llm,True,False,False,0.5035340785980225
81,llm,True,False,False,0.34874868392944336
82,llm,True,False,False,0.5772161483764648
